nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,pose_score
298.296875,237.890625,296.34375,224.21875,294.390625,230.078125,315.875,208.59375,335.40625,206.640625,354.9375,247.65625,390.09375,220.3125,376.421875,337.5,403.765625,310.15625,311.96875,308.203125,327.59375,286.71875,401.8125,415.625,440.875,413.671875,337.359375,548.4375,431.109375,523.046875,339.3125,706.640625,477.984375,624.609375,0.7390259
288.53125,235.9375,284.625,222.265625,282.671875,228.125,308.0625,200.78125,315.875,210.546875,358.84375,241.796875,380.328125,228.125,376.421875,341.40625,388.140625,319.921875,304.15625,308.203125,313.921875,282.8125,395.953125,415.625,427.203125,413.671875,331.5,548.4375,413.53125,517.1875,335.40625,708.59375,474.078125,624.609375,0.801081
284.625,235.9375,282.671875,222.265625,278.765625,228.125,304.15625,204.6875,308.0625,214.453125,354.9375,245.703125,376.421875,228.125,372.515625,337.5,388.140625,316.015625,298.296875,306.25,306.109375,275.0,392.046875,417.578125,423.296875,415.625,327.59375,546.484375,411.578125,515.234375,333.453125,704.6875,470.171875,624.609375,0.7701748
278.765625,235.9375,276.8125,224.21875,272.90625,228.125,300.25,206.640625,306.109375,208.59375,360.796875,243.75,370.5625,230.078125,386.1875,341.40625,382.28125,317.96875,304.15625,308.203125,308.0625,278.90625,401.8125,413.671875,419.390625,411.71875,333.453125,546.484375,397.90625,511.328125,337.359375,704.6875,472.125,605.078125,0.82581985
298.296875,245.703125,298.296875,230.078125,290.484375,237.890625,331.5,206.640625,302.203125,218.359375,403.765625,237.890625,360.796875,245.703125,423.296875,339.453125,374.46875,317.96875,337.359375,308.203125,313.921875,314.0625,435.015625,407.8125,413.53125,409.765625,364.703125,546.484375,409.625,515.234375,362.75,702.734375,497.515625,587.5,0.8261523
302.203125,243.75,308.0625,226.171875,294.390625,235.9375,345.171875,206.640625,300.25,228.125,419.390625,237.890625,351.03125,257.421875,444.78125,341.40625,343.21875,347.265625,354.9375,306.25,311.96875,329.6875,448.6875,409.765625,415.484375,413.671875,378.375,544.53125,421.34375,521.09375,378.375,702.734375,497.515625,589.453125,0.84232306
315.875,247.65625,317.828125,232.03125,310.015625,241.796875,352.984375,210.546875,321.734375,232.03125,431.109375,239.84375,362.75,259.375,458.453125,341.40625,351.03125,353.125,366.65625,310.15625,325.640625,331.640625,460.40625,409.765625,429.15625,413.671875,388.140625,544.53125,429.15625,521.09375,386.1875,702.734375,507.28125,587.5,0.8282505
329.546875,255.46875,333.453125,237.890625,321.734375,247.65625,368.609375,216.40625,325.640625,239.84375,442.828125,241.796875,358.84375,265.234375,477.984375,341.40625,321.734375,341.40625,386.1875,325.78125,323.6875,335.546875,472.125,409.765625,433.0625,413.671875,395.953125,546.484375,440.875,525.0,397.90625,700.78125,515.09375,595.3125,0.76349235
335.40625,257.421875,339.3125,241.796875,329.546875,247.65625,374.46875,218.359375,345.171875,237.890625,456.5,245.703125,352.984375,271.09375,517.046875,327.734375,317.828125,353.125,474.078125,347.265625,331.5,310.15625,477.984375,411.71875,438.921875,417.578125,397.90625,548.4375,448.6875,526.953125,409.625,702.734375,520.953125,591.40625,0.7733311
343.21875,259.375,345.171875,243.75,341.265625,251.5625,376.421875,222.265625,356.890625,239.84375,474.078125,249.609375,368.609375,280.859375,540.484375,284.765625,339.3125,321.875,507.28125,273.046875,323.6875,316.015625,481.890625,419.53125,450.640625,425.390625,394.0,552.34375,474.078125,525.0,429.15625,700.78125,538.53125,593.359375,0.74725544
345.171875,257.421875,349.078125,241.796875,343.21875,247.65625,380.328125,222.265625,366.65625,239.84375,479.9375,251.5625,370.5625,282.8125,542.4375,284.765625,339.3125,323.828125,509.234375,273.046875,315.875,323.828125,485.796875,417.578125,452.59375,423.4375,397.90625,552.34375,476.03125,525.0,435.015625,702.734375,546.34375,595.3125,0.73044974
327.59375,253.515625,331.5,237.890625,327.59375,243.75,358.84375,220.3125,351.03125,230.078125,448.6875,253.515625,374.46875,267.1875,530.71875,286.71875,403.765625,296.484375,517.046875,282.8125,331.5,296.484375,466.265625,419.53125,448.6875,425.390625,386.1875,554.296875,479.9375,523.046875,431.109375,700.78125,546.34375,597.265625,0.70247126
319.78125,243.75,325.640625,228.125,317.828125,232.03125,356.890625,216.40625,341.265625,218.359375,417.4375,261.328125,403.765625,239.84375,503.375,319.921875,444.78125,290.625,448.6875,335.546875,425.25,300.390625,448.6875,415.625,462.359375,415.625,382.28125,558.203125,479.9375,513.28125,427.203125,700.78125,540.484375,603.125,0.7132885
313.921875,232.03125,315.875,218.359375,310.015625,220.3125,345.171875,210.546875,362.75,208.59375,382.28125,269.140625,429.15625,224.21875,380.328125,370.703125,423.296875,317.96875,269.0,366.796875,347.125,351.171875,433.0625,411.71875,474.078125,401.953125,378.375,556.25,474.078125,505.46875,421.34375,700.78125,526.8125,603.125,0.7495826
315.875,230.078125,315.875,216.40625,313.921875,220.3125,335.40625,208.59375,366.65625,202.734375,352.984375,261.328125,436.96875,222.265625,331.5,355.078125,442.828125,302.34375,243.609375,360.9375,366.65625,325.78125,427.203125,411.71875,476.03125,400.0,372.515625,556.25,456.5,497.65625,413.53125,702.734375,511.1875,601.171875,0.7473774
313.921875,232.03125,315.875,218.359375,310.015625,220.3125,337.359375,208.59375,360.796875,206.640625,356.890625,261.328125,433.0625,220.3125,349.078125,358.984375,460.40625,296.484375,278.765625,364.84375,394.0,331.640625,421.34375,415.625,470.171875,401.953125,368.609375,558.203125,454.546875,497.65625,407.671875,702.734375,511.1875,601.171875,0.76604193
308.0625,239.84375,308.0625,224.21875,302.203125,232.03125,331.5,208.59375,347.125,208.59375,360.796875,255.46875,423.296875,220.3125,360.796875,339.453125,435.015625,298.4375,331.5,349.21875,366.65625,339.453125,417.4375,417.578125,464.3125,407.8125,362.75,560.15625,452.59375,497.65625,405.71875,706.640625,515.09375,601.171875,0.7243957
298.296875,239.84375,298.296875,224.21875,292.4375,230.078125,327.59375,208.59375,349.078125,206.640625,362.75,261.328125,409.625,222.265625,378.375,360.9375,429.15625,294.53125,331.5,347.265625,358.84375,319.921875,421.34375,415.625,462.359375,405.859375,364.703125,556.25,446.734375,501.5625,401.8125,702.734375,511.1875,599.21875,0.7467604
296.34375,241.796875,296.34375,228.125,290.484375,232.03125,321.734375,208.59375,329.546875,210.546875,378.375,251.5625,392.046875,230.078125,405.71875,349.21875,415.484375,319.921875,327.59375,337.5,339.3125,327.734375,427.203125,411.71875,450.640625,407.8125,370.5625,556.25,440.875,505.46875,399.859375,702.734375,505.328125,599.21875,0.8451154
290.484375,239.84375,290.484375,226.171875,284.625,230.078125,319.78125,206.640625,310.015625,216.40625,386.1875,247.65625,380.328125,241.796875,413.53125,347.265625,397.90625,319.921875,331.5,323.828125,325.640625,314.0625,429.15625,411.71875,433.0625,411.71875,374.46875,550.390625,429.15625,513.28125,394.0,700.78125,499.46875,597.265625,0.8280788
298.296875,247.65625,302.203125,232.03125,292.4375,239.84375,337.359375,210.546875,304.15625,226.171875,407.671875,241.796875,372.515625,247.65625,425.25,345.3125,374.46875,316.015625,345.171875,319.921875,308.0625,312.109375,440.875,409.765625,425.25,409.765625,378.375,548.4375,427.203125,515.234375,394.0,702.734375,501.421875,597.265625,0.8070783
298.296875,249.609375,304.15625,233.984375,292.4375,241.796875,343.21875,216.40625,296.34375,233.984375,417.4375,245.703125,345.171875,267.1875,450.640625,347.265625,278.765625,335.546875,370.5625,327.734375,290.484375,312.109375,442.828125,411.71875,417.4375,415.625,372.515625,548.4375,425.25,521.09375,395.953125,700.78125,503.375,597.265625,0.77294636
300.25,255.46875,306.109375,239.84375,296.34375,243.75,345.171875,220.3125,304.15625,235.9375,423.296875,251.5625,331.5,259.375,487.75,337.5,300.25,310.15625,436.96875,358.984375,298.296875,314.0625,442.828125,409.765625,411.578125,413.671875,364.703125,552.34375,427.203125,525.0,394.0,702.734375,505.328125,603.125,0.7858746
300.25,253.515625,306.109375,237.890625,296.34375,243.75,345.171875,220.3125,304.15625,235.9375,423.296875,251.5625,331.5,259.375,487.75,335.546875,298.296875,310.15625,436.96875,358.984375,294.390625,317.96875,442.828125,409.765625,411.578125,413.671875,362.75,552.34375,427.203125,525.0,394.0,702.734375,505.328125,603.125,0.7886426
288.53125,249.609375,290.484375,233.984375,286.578125,237.890625,321.734375,220.3125,302.203125,224.21875,397.90625,259.375,354.9375,257.421875,497.515625,304.296875,370.5625,294.53125,505.328125,374.609375,278.765625,292.578125,415.484375,417.578125,431.109375,417.578125,345.171875,558.203125,442.828125,511.328125,392.046875,702.734375,511.1875,603.125,0.72825235
284.625,241.796875,284.625,228.125,278.765625,232.03125,308.0625,216.40625,300.25,212.5,364.703125,265.234375,370.5625,230.078125,446.734375,321.875,411.578125,302.34375,433.0625,333.59375,415.484375,357.03125,405.71875,413.671875,440.875,405.859375,349.078125,560.15625,444.78125,505.46875,392.046875,702.734375,505.328125,603.125,0.70344895
284.625,243.75,284.625,228.125,278.765625,232.03125,308.0625,216.40625,300.25,212.5,362.75,265.234375,370.5625,230.078125,446.734375,321.875,411.578125,239.84375,431.109375,333.59375,415.484375,357.03125,405.71875,411.71875,440.875,405.859375,349.078125,560.15625,444.78125,505.46875,392.046875,702.734375,505.328125,603.125,0.7048033
274.859375,230.078125,276.8125,216.40625,270.953125,220.3125,306.109375,206.640625,308.0625,204.6875,341.265625,269.140625,394.0,212.5,343.21875,368.75,444.78125,255.46875,239.703125,370.703125,392.046875,321.875,397.90625,411.71875,446.734375,400.0,354.9375,554.296875,444.78125,497.65625,392.046875,702.734375,497.515625,603.125,0.74204814
284.625,224.21875,286.578125,210.546875,280.71875,214.453125,308.0625,200.78125,311.96875,196.875,319.78125,263.28125,405.71875,210.546875,300.25,362.890625,454.546875,263.28125,216.265625,366.796875,421.34375,247.65625,399.859375,411.71875,454.546875,398.046875,358.84375,556.25,436.96875,491.796875,392.046875,704.6875,491.65625,597.265625,0.7771985
290.484375,232.03125,290.484375,218.359375,282.671875,224.21875,317.828125,200.78125,317.828125,200.78125,347.125,263.28125,403.765625,216.40625,347.125,366.796875,409.625,302.34375,282.671875,358.984375,343.21875,321.875,403.765625,415.625,450.640625,403.90625,354.9375,558.203125,440.875,495.703125,390.09375,704.6875,507.28125,599.21875,0.8022158
290.484375,232.03125,290.484375,218.359375,282.671875,224.21875,317.828125,200.78125,319.78125,198.828125,347.125,263.28125,403.765625,216.40625,345.171875,366.796875,407.671875,302.34375,282.671875,358.984375,339.3125,321.875,403.765625,415.625,450.640625,403.90625,354.9375,556.25,440.875,495.703125,390.09375,704.6875,507.28125,599.21875,0.80291146
288.53125,232.03125,288.53125,218.359375,280.71875,222.265625,319.78125,198.828125,321.734375,202.734375,364.703125,255.46875,392.046875,222.265625,386.1875,360.9375,401.8125,312.109375,311.96875,345.3125,329.546875,316.015625,413.53125,411.71875,444.78125,403.90625,356.890625,556.25,440.875,501.5625,390.09375,702.734375,507.28125,595.3125,0.81149596
