nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,pose_score
382.7537,138.41537,395.95767,125.28166,370.43134,124.251434,414.36716,130.6803,351.11072,129.05565,454.73157,187.10483,316.06656,191.60336,504.63202,296.08792,295.89886,279.24844,458.4169,228.70236,339.0089,205.2076,431.55554,398.05853,351.47443,403.6745,453.76865,535.9313,331.6271,553.44653,467.43945,553.29785,325.91705,552.6671,0.6241019
376.95413,134.83125,390.87622,121.13894,364.45648,120.45879,410.53525,125.43821,346.89267,125.02856,452.24707,185.75815,314.0233,189.43307,504.38962,293.0896,293.41138,282.56097,457.1409,225.69249,332.45065,206.90997,427.59656,394.79584,348.12152,400.28986,450.23312,534.81696,328.452,551.46906,469.08456,554.4795,323.6211,553.4238,0.62860435
368.92676,130.88629,381.75662,116.69623,356.64572,116.501945,402.2666,119.97538,340.5002,120.418526,445.55756,178.54851,310.13223,187.1384,501.7482,288.2121,292.82504,289.04657,452.67944,225.69107,323.71582,212.32738,424.51505,388.89944,347.04355,394.61945,443.08597,531.42596,329.85513,545.5218,470.28656,554.5855,325.8982,554.71704,0.6141254
366.58966,130.9359,379.66037,116.10289,354.35834,115.95605,400.74722,119.23101,337.13153,120.19504,443.8387,178.88327,309.70657,187.13734,499.9462,288.5416,294.01572,293.6547,452.38278,232.50311,322.3263,217.32112,423.01538,389.6129,346.03427,395.41702,441.18707,530.8944,329.9016,547.28235,468.39478,551.8268,326.56998,554.51166,0.60649943
364.61627,131.31677,377.63702,117.042305,352.15274,117.24624,398.93262,119.6862,337.02582,122.445946,443.80576,180.38655,310.64938,189.92242,496.87885,290.70114,296.96875,300.50662,448.2267,232.91475,317.86398,226.37625,422.46713,392.03183,346.98666,398.8476,437.73615,533.87714,330.42587,549.22485,464.3498,555.16785,325.34644,554.7169,0.59611046
361.9286,132.92508,374.54825,119.17084,349.6988,119.62658,397.06137,123.557274,335.2909,126.47325,443.85223,183.43597,311.0434,193.31842,492.76724,294.26868,299.306,306.55432,444.1529,241.35661,317.57578,234.30331,422.8192,393.71066,347.76395,399.8439,434.78116,536.6909,329.74084,550.4151,453.8269,553.10724,325.02426,552.46606,0.59038407
357.7509,141.06787,370.69183,126.8594,346.00916,127.067085,394.8574,129.63882,332.7125,132.3805,446.66745,193.70897,313.1322,202.52577,485.8299,310.42487,306.51343,317.07816,440.43692,263.8138,315.11127,256.8055,424.14908,401.64612,349.99817,406.01422,434.033,541.2249,329.15503,554.0948,449.20496,550.15265,326.46902,550.513,0.5869693
357.36688,143.0627,370.50662,128.7187,345.40027,128.93102,395.34756,131.78522,333.24036,134.5075,448.70923,197.20363,315.97235,205.16328,483.0167,315.27795,309.19672,321.52582,438.32394,271.72745,319.14197,263.51053,425.79044,405.23148,351.9202,409.01367,436.49698,542.62744,329.7783,553.7635,447.03372,547.60504,326.78116,548.92346,0.5850102
358.45154,142.96925,371.9726,128.71445,347.1655,129.22081,397.66132,131.89897,335.57507,135.42175,450.4058,198.29684,319.07626,205.98125,482.80136,317.53073,309.8092,320.25293,434.7695,272.79813,324.52756,269.33765,428.93594,406.95016,354.61307,410.75003,438.56448,544.2576,332.14398,553.98596,450.04117,547.6539,329.71576,549.21216,0.58113515
361.55035,141.57903,375.2391,127.513954,349.96616,127.78077,400.61032,131.4823,338.88617,134.31178,453.2325,198.75774,323.157,203.95212,484.6588,318.67355,312.72723,319.72427,434.22144,269.1123,316.8259,264.3026,432.4623,405.23016,357.66547,409.21335,439.46915,544.7309,338.37308,554.29395,452.2292,547.25116,341.4077,547.60455,0.5752215
