nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,pose_score
436.93402,134.57507,444.44968,124.42202,427.89905,127.78106,463.46222,123.17582,418.80515,133.39862,496.8495,149.457,422.06165,177.58836,535.3524,162.25671,407.60904,249.56392,467.10962,140.02457,405.50998,182.09845,522.18634,297.93488,463.46393,303.32834,541.24207,406.7913,421.07315,394.52792,593.37274,524.9,446.37753,492.44788,0.7074493
444.03894,137.91867,452.37332,127.54929,435.0846,129.68544,470.16327,128.17957,426.11508,136.30618,493.5679,150.8895,429.41727,184.9555,529.576,169.56303,426.57288,261.26932,438.844,152.15074,420.53583,201.47948,530.2182,303.9528,470.71396,309.9771,546.0335,415.35217,422.4986,399.87796,602.0062,533.77295,444.7681,486.38293,0.7245947
444.07193,137.98434,452.2965,127.43115,435.22125,129.78654,470.29486,128.1988,426.17383,136.24602,493.8886,151.10211,429.462,184.90463,529.5627,169.4282,426.59964,261.30127,438.69107,152.29147,420.56308,201.54472,530.2831,303.82727,470.7356,309.81442,546.0549,415.3547,422.4858,399.81964,601.9757,533.76447,444.7611,486.41412,0.72463244
452.30884,138.7831,459.96564,127.85073,443.02567,131.40915,477.61996,128.33421,431.31625,139.50856,506.91327,159.61128,433.67926,195.58592,555.871,185.29901,441.9441,273.60318,464.85242,164.98392,442.19748,235.82523,539.4348,309.50952,478.76318,316.2295,556.63306,419.64835,425.28873,408.38293,605.07,532.0906,442.0046,487.3141,0.7123694
461.75287,135.22401,469.38156,122.38835,450.27002,127.12732,486.61285,125.28929,438.83347,137.7214,523.797,156.33134,435.61374,193.1463,587.98956,191.05217,439.0358,259.90225,509.48608,169.64684,456.80713,283.44623,544.1318,314.27634,480.61362,319.03976,568.98615,420.99948,430.19968,418.44333,606.57184,533.8833,439.31305,490.4237,0.7100178
478.48315,128.83524,485.29547,117.23805,465.96027,122.252655,498.8749,117.4728,449.7714,130.63315,534.6511,152.58817,434.8633,191.15591,600.5575,195.08203,436.66656,272.65125,544.24243,163.7893,477.5901,313.531,546.59546,309.24893,481.50217,318.45416,576.9665,418.354,441.35596,426.27454,605.4577,533.9622,437.52017,484.86298,0.7078415
519.1236,126.28444,520.29395,115.52736,507.50522,118.99662,519.6867,114.60022,481.6809,124.300964,527.35846,152.99779,459.5939,185.52385,575.0921,198.06924,473.73145,265.72195,564.3746,162.95184,548.8654,238.85614,545.1193,302.43814,488.52133,311.1413,578.96075,410.37433,453.42596,424.81314,605.5008,535.8391,432.18146,481.4878,0.7081623
524.77155,127.89557,524.4384,118.08542,513.97186,120.79993,519.0894,118.97908,487.33417,127.89164,523.4663,152.52881,465.65506,198.79984,539.84314,197.0972,532.9637,242.47871,552.58057,168.84525,573.57733,177.56453,542.458,300.51544,483.5675,312.1726,578.18646,410.85876,450.46002,428.77676,605.0265,536.63556,429.38208,482.69705,0.6932053
525.7435,129.02219,525.9017,118.580345,515.08124,119.99662,520.2497,122.01284,487.72397,127.76652,520.3581,163.26086,467.65143,191.32845,544.92065,202.5554,552.1995,215.61842,561.5606,143.53069,572.5141,135.73561,540.62915,302.58862,483.24704,309.75116,577.0336,412.85403,450.2555,424.8819,604.9017,536.2392,425.83313,483.4658,0.702863
525.5524,128.96442,525.83563,118.63921,515.0716,119.94891,520.2966,122.09218,487.9409,127.74452,520.11505,164.1292,467.5487,191.16048,544.66925,204.39354,552.1323,215.54485,561.53217,145.11491,572.33356,135.84436,540.61633,302.78937,483.30133,309.95163,577.1483,412.98926,450.1629,425.54102,605.14764,536.431,425.51178,483.99304,0.7014327
499.13147,132.50822,500.99078,121.24059,487.12393,125.10386,503.47012,121.06509,462.31735,130.67998,522.8491,159.7337,442.81766,188.37108,571.09784,207.24246,502.08957,241.36218,544.3149,160.3076,526.7198,168.60954,539.49036,308.06052,478.9236,317.545,573.1389,413.61392,443.6991,432.81732,603.0257,535.0543,424.9687,482.2209,0.70590353
482.81882,134.12454,487.7901,122.22166,469.76804,126.57286,496.43817,122.25288,448.61472,133.6895,520.79877,157.9583,432.29858,195.69206,573.7706,210.0044,460.69318,272.63742,535.45404,163.79602,493.26056,197.46149,539.2794,307.5348,474.788,317.98563,568.7568,415.19482,435.6863,430.82394,602.89575,535.2153,428.4745,484.3448,0.70750415
482.86893,134.11957,487.99643,122.14174,469.7239,126.63909,496.4959,122.23355,448.6602,133.66148,520.72424,158.12001,432.29163,195.75426,573.86566,210.02249,460.53528,272.87433,535.6163,163.96472,493.36182,197.48083,539.2958,307.56723,474.78683,317.98474,568.7824,415.19833,435.72153,430.78125,602.88306,535.13324,428.48932,483.79654,0.7075036
447.51102,148.23706,453.88907,136.19566,435.6565,141.19907,468.29266,133.9135,418.22473,147.68967,505.57736,164.88443,412.98224,206.30573,566.31146,214.29549,430.87482,282.66678,510.80893,169.31941,431.46436,222.1204,524.8269,315.74615,458.30762,327.2601,553.4604,420.4034,411.0785,427.8676,601.31055,533.694,438.59848,488.81992,0.7075404
427.2399,152.95512,434.00735,140.39308,415.30222,145.41982,449.0957,135.21411,403.0831,150.98758,490.16095,163.70389,404.6865,207.17245,552.29956,217.84161,413.80945,280.61655,492.27902,175.84766,412.77396,217.62961,513.2158,316.22974,449.06302,326.78534,547.29224,421.94458,403.32333,423.03265,599.9233,532.7243,439.10403,488.89362,0.7064461
427.2301,152.78963,433.90118,140.36966,415.22357,145.44267,449.12454,135.13574,402.99948,150.93417,490.2436,163.5299,404.6393,207.14412,552.4186,217.80994,413.75494,280.50766,491.99948,175.82211,412.74747,217.64925,513.263,316.05753,449.04984,326.7341,547.375,422.0211,403.3452,423.03342,599.84906,532.6656,439.01047,488.88058,0.70651346
410.51022,154.18755,417.54788,142.45236,399.94122,146.34335,435.6366,135.98106,388.7976,148.68756,477.9734,163.04782,394.91608,202.0013,536.0016,219.81714,403.64722,276.20663,474.09064,179.74039,400.02954,210.74179,501.30847,312.2832,438.36072,322.16895,535.5925,419.57242,398.01666,416.06937,595.98065,530.71045,435.26062,487.90756,0.7086351
398.94388,149.4226,405.91888,137.61685,388.29547,141.99344,424.35074,131.51544,377.94995,145.94537,467.30222,159.07376,386.25183,195.64125,523.3601,217.62178,393.8103,269.31525,462.242,178.5238,390.0878,207.76178,488.77182,307.18298,428.00577,314.86954,524.8533,416.156,391.50665,411.42908,584.8863,526.5124,434.7508,486.59625,0.7114997
390.70383,141.51688,398.46588,130.58562,380.6076,133.8684,417.1463,125.30669,370.51654,137.56096,458.8273,153.28246,377.47238,188.46092,513.09985,211.25102,382.65714,261.03836,452.0303,172.19443,380.01526,197.21173,477.32373,299.97485,418.67575,308.80786,508.2863,407.7436,390.08722,408.87857,561.4294,521.3462,434.19278,485.13174,0.7080149
383.46646,132.86282,390.57935,122.45173,373.62216,126.167725,411.35037,118.432884,364.29263,131.11862,452.02264,146.48091,368.93677,180.97903,506.04642,205.70833,373.45807,252.45859,446.1364,166.66447,374.8151,189.49638,468.4464,293.17184,409.8994,302.90198,491.103,399.40198,388.21484,405.23547,528.99365,515.27203,433.4968,483.78674,0.7098742
379.9586,125.75376,386.79715,114.21233,369.1215,117.775696,405.052,109.51125,359.9862,121.364746,445.86517,139.74438,361.82254,171.91026,497.94897,197.96245,364.35812,243.50269,438.21704,157.72658,367.10815,183.3757,462.76105,284.07855,404.63184,292.88086,472.64404,390.22202,385.19318,396.79794,494.4546,506.94467,431.4171,476.71222,0.7164705
376.75473,119.572105,383.92474,108.221466,366.11392,112.11217,401.44034,104.73703,356.86096,115.45709,442.5756,135.42543,355.1657,166.4524,491.58627,196.29558,357.9574,236.84152,432.3228,151.6491,360.61487,176.04128,455.9906,280.05194,397.7661,286.81137,453.04602,387.56458,375.26752,388.35938,464.55954,493.82312,425.65775,466.71198,0.7145415
371.6663,120.653206,379.3457,108.707054,361.60736,112.0582,398.67014,105.673035,352.14236,115.35622,438.92084,136.0508,350.13486,163.69386,484.02798,197.07726,351.884,234.35715,426.77844,148.15741,354.63034,174.74368,449.78943,276.9447,391.80707,281.83472,433.52887,382.7514,361.34927,378.96182,443.00934,490.88263,410.8074,460.66025,0.71636236
370.80713,124.4746,378.75912,113.16428,361.28015,115.81471,396.8875,108.97751,351.1751,116.31089,435.28055,139.65271,351.86948,160.47917,476.2963,200.34839,344.60184,231.67174,421.617,145.89699,341.41742,167.17966,441.6878,278.36075,384.90765,281.38885,416.40738,384.87582,347.40506,375.903,428.05286,493.9108,398.47464,447.8746,0.7204767
369.9328,130.76321,378.17224,120.02927,360.419,121.87402,396.85342,115.18479,351.8939,123.19972,432.2636,150.16524,350.7111,162.88866,465.49945,206.81812,332.0494,230.86552,414.14886,143.01074,330.92358,160.18356,432.2983,287.4579,376.70462,287.6926,405.51733,388.6099,334.28726,377.63412,424.7359,496.44003,386.7432,443.714,0.7089745
369.90323,130.71577,378.2248,120.01144,360.43427,121.824974,396.8756,115.170616,352.12448,123.19018,432.59235,150.45216,351.1274,162.97772,465.63065,207.04921,332.08524,230.90228,414.389,143.03967,330.95428,160.2061,432.32764,287.5353,376.71545,287.737,405.4276,388.77307,334.2549,377.7058,424.78244,496.45996,386.88196,443.5727,0.7087978
364.43936,153.30714,373.03635,144.17683,355.87756,144.88942,391.74277,142.8592,347.15875,147.81262,420.9498,177.33122,342.3583,182.113,451.49243,222.86967,314.6418,238.55748,402.91553,155.7684,320.2511,165.3615,416.92233,307.58136,362.82605,306.6001,396.81683,394.42368,320.4001,383.3293,425.24628,499.89713,352.78485,436.75125,0.7090446
